OrderID,OrderDate,Customer,Product,Category,Quantity,UnitPrice,TotalPrice
2001,2024-02-10,PowerTech Solutions,Power Apps License Pro,Software,25,40.00,1000.00
2002,2024-02-11,Automate Inc,Power Automate License,Software,30,15.00,450.00
2003,2024-02-12,DataVerse Corp,Dataverse Storage 10GB,Storage,10,50.00,500.00
2004,2024-02-13,CloudFirst LLC,Power BI Premium Per User,Software,15,20.00,300.00
2005,2024-02-14,Integration Hub,Custom Connector License,Software,5,100.00,500.00
2006,2024-02-15,DevOps Masters,ALM Toolkit Enterprise,Tools,8,75.00,600.00
2007,2024-02-16,Enterprise Apps,Model-Driven App License,Software,20,35.00,700.00
2008,2024-02-17,FlowBuilders,Premium Connector Access,Software,12,25.00,300.00
2009,2024-02-18,Platform Pros,PCF Component Library,Development,6,150.00,900.00
2010,2024-02-19,Security First,Environment Management,Administration,4,200.00,800.00
